STT,Câu hỏi,Câu trả lời,EduRAG,ChatGPT,QWEN,DeepSeek,Claude
19,"Trong thời kỳ từ năm 1954 đến năm 1969, Hồ Chí Minh xác định và lãnh đạo thực hiện mấy nhiệm vụ chiến lược của cách mạng Việt Nam? A. Một nhiệm vụ. B. Hai nhiệm vụ. C. Ba nhiệm vụ. D. Bốn nhiệm vụ.",B,B,B,B,B,B
20,"Chân lý lớn của thời đại được Hồ Chí Minh khẳng định trong Lời kêu gọi đồng bào và chiến sĩ cả nước (17-7-1966) là gì? A. Không có gì quý hơn độc lập, tự do. B. Dân giàu, nước mạnh, xã hội công bằng, dân chủ, văn minh. C. Toàn dân đoàn kết. D. Kháng chiến nhất định thắng lợi.",A,A,A,A,A,A
21,"Theo Hồ Chí Minh, cái mà Người cần nhất trên đời là gì? A. Đất nước giàu mạnh. B. Đồng bào được tự do, Tổ quốc được độc lập. C. Chủ nghĩa xã hội thành công. D. Công nông liên minh vững chắc.",B,B,B,B,B,B
22,"Trong Chánh cương vắn tắt của Đảng (1930), mục tiêu chính trị của Đảng là ""Đánh đổ đế quốc chủ nghĩa Pháp và bọn phong kiến"" và mục tiêu nào nữa? A. Làm cho nước Nam được hoàn toàn độc lập. B. Làm tư sản dân quyền cách mạng. C. Thi hành luật ngày làm 8 giờ. D. Thâu hết ruộng đất của đế quốc.",A,A,A,A,A,A
23,"Hồ Chí Minh khẳng định: ""Nước độc lập mà dân không hưởng hạnh phúc tự do, thì độc lập cũng chẳng có nghĩa lý gì"" nhằm nhấn mạnh điều gì? A. Độc lập dân tộc phải gắn với tự do, cơm no, áo ấm và hạnh phúc của nhân dân. B. Vai trò của tầng lớp trí thức. C. Tính chất giai cấp của cách mạng. D. Mối quan hệ giữa dân tộc và quốc tế.",A,A,A,A,A,A
24,"Trong tư tưởng Hồ Chí Minh, độc lập dân tộc phải là nền độc lập như thế nào? A. Độc lập chính trị. B. Thật sự, hoàn toàn và triệt để. C. Độc lập về văn hóa. D. Độc lập về kinh tế.",B,B,B,B,B,B
25,"Quan điểm của Hồ Chí Minh về con đường cách mạng ở Việt Nam là gì? A. Đi từ giải phóng giai cấp đến giải phóng dân tộc. B. Đi từ giải phóng dân tộc đến giải phóng xã hội, giải phóng giai cấp, giải phóng con người. C. Đi từ kinh tế thị trường lên xã hội cộng sản. D. Chỉ cần giải phóng dân tộc.",B,B,B,B,B,B
26,Luận điểm sáng tạo nào của Hồ Chí Minh về cách mạng thuộc địa so với cách mạng vô sản ở chính quốc? A. Cách mạng thuộc địa phải phụ thuộc hoàn toàn vào chính quốc. B. Cách mạng thuộc địa có thể giành thắng lợi trước cách mạng vô sản ở chính quốc. C. Cách mạng thuộc địa không cần đảng cộng sản lãnh đạo. D. Cách mạng thuộc địa chỉ cần đấu tranh chính trị.,B,B,B,B,B,B
27,"Theo Hồ Chí Minh, Đảng Cộng sản Việt Nam vừa là đội tiên phong của giai cấp công nhân vừa là đội tiên phong của những lực lượng nào? A. Tư sản và địa chủ. B. Nhân dân lao động kiên quyết nhất, hăng hái nhất, trong sạch nhất. C. Trí thức và tiểu tư sản. D. Công nông.",B,B,B,B,B,B
28,"Trong tư tưởng Hồ Chí Minh, lực lượng nào được xem là ""gốc cách mệnh""? A. Trí thức. B. Công nông. C. Tiểu tư sản. D. Toàn dân.",B,B,B,D,B,B
29,"Theo Hồ Chí Minh, Chủ nghĩa xã hội trước hết nhằm mục tiêu cơ bản nào? A. Phát triển sản xuất lớn. B. Làm cho nhân dân lao động thoát nạn bần cùng, có công ăn việc làm, được ấm no và sống hạnh phúc. C. Xóa bỏ chế độ người bóc lột người. D. Xây dựng nền văn hóa mới.",B,B,B,B,B,B
30,"Theo Hồ Chí Minh, Chủ nghĩa Cộng sản có mấy giai đoạn? A. Một. B. Hai. C. Ba. D. Bốn.",B,B,B,B,B,B
31,"Chủ nghĩa xã hội và Chủ nghĩa Cộng sản giống nhau ở điểm nào theo Hồ Chí Minh? A. Xã hội đã hoàn toàn không còn vết tích xã hội cũ. B. Nền tảng kinh tế thì tư liệu sản xuất đều là của chung, không có giai cấp áp bức bóc lột. C. Vẫn còn tồn đọng tàn dư của xã hội cũ. D. Sức sản xuất còn thấp.",B,B,B,B,B,B
32,"Hồ Chí Minh giải thích, những nước chưa qua giai đoạn phát triển tư bản chủ nghĩa có thể đi lên chủ nghĩa xã hội sau khi đã ""đánh đổ đế quốc và phong kiến"" dưới sự lãnh đạo của Đảng vô sản và được tư tưởng nào dẫn đường? A. Chủ nghĩa Tôn Trung Sơn. B. Chủ nghĩa Tam Dân. C. Chủ nghĩa Mác-Lênin. D. Chủ nghĩa yêu nước.",C,C,C,C,C,C
33,"Động lực nào giữ vai trò quyết định nhất trong hệ thống động lực thúc đẩy tiến trình cách mạng xã hội chủ nghĩa theo Hồ Chí Minh? A. Ngoại lực. B. Nội lực dân tộc, là nhân dân. C. Động lực vật chất. D. Khoa học, giáo dục.",B,B,B,B,B,B
34,"Theo Hồ Chí Minh, nguyên tắc nào là quan trọng bậc nhất trong xây dựng chủ nghĩa xã hội trong thời kỳ quá độ? A. Thống nhất giữa xây và chống. B. Mọi tư tưởng, hành động phải được thực hiện trên nền tảng chủ nghĩa Mác – Lênin. C. Đoàn kết, học tập kinh nghiệm của các nước anh em. D. Đảm bảo dân chủ.",B,B,A,C,A,A
35,"Theo Hồ Chí Minh, việc xây dựng chủ nghĩa xã hội ở Việt Nam không thể một sớm một chiều mà phải làm dần dần vì nước ta có đặc điểm gì? A. Nước nông nghiệp lạc hậu, mới thoát khỏi ách thực dân, phong kiến. B. Nước bị chiến tranh tàn phá nặng nề. C. Thiếu cán bộ có trình độ. D. Bị các thế lực thù địch bao vây.",A,A,A,A,A,A
36,"Theo Hồ Chí Minh, độc lập dân tộc là cơ sở, tiền đề cho mục tiêu tiếp theo nào? A. Xây dựng Đảng. B. Chủ nghĩa xã hội và chủ nghĩa cộng sản. C. Phát triển kinh tế thị trường. D. Củng cố khối đại đoàn kết.",B,B,B,B,B,B
37,"Hồ Chí Minh đã khái quát chân lý về vai trò của đại đoàn kết toàn dân tộc bằng câu nói nào? A. Đoàn kết là sức mạnh, đoàn kết là thắng lợi. B. Đoàn kết, đoàn kết, đại đoàn kết; Thành công, thành công, đại thành công. C. Nước lấy dân làm gốc. D. Thắng không kiêu bại không nản.",B,B,B,B,B,B
38,"Hồ Chí Minh tuyên bố mục đích của Đảng Lao động Việt Nam (1951) gồm trong tám chữ là gì? A. Xây dựng Đảng Cộng sản vững mạnh. B. Đoàn kết toàn dân, phụng sự Tổ quốc. C. Độc lập dân tộc, tự do hạnh phúc. D. Chủ nghĩa xã hội, chủ nghĩa cộng sản.",B,B,B,B,B,B
39,"Lực lượng nào làm nền tảng cho khối đại đoàn kết toàn dân tộc theo quan điểm của Hồ Chí Minh? A. Công nhân, nông dân và các tầng lớp nhân dân lao động khác. B. Công nhân, nông dân và trí thức. C. Công nhân, nông dân. D. Toàn thể nhân dân Việt Nam.",B,B,B,B,C,A
40,"Theo Hồ Chí Minh, nguyên tắc bất di bất dịch trong đoàn kết là gì? A. Lấy lợi ích của giai cấp công nhân làm mục tiêu. B. Lấy lợi ích tối cao của dân tộc, lợi ích căn bản của nhân dân lao động làm mục tiêu phấn đấu. C. Tôn trọng những khác biệt về tôn giáo. D. Đoàn kết trên cơ sở đấu tranh.",B,B,B,B,B,B
41,"Hồ Chí Minh nhấn mạnh phương châm nào trong Mặt trận để lấy cái chung hạn chế cái riêng? A. Dĩ bất biến ứng vạn biến. B. Cần kiệm liêm chính. C. Cầu đồng tồn dị. D. Đoàn kết, đoàn kết, đại đoàn kết.",C,C,C,C,C,C
42,Đảng Cộng sản Việt Nam ra đời là kết quả của sự kết hợp những yếu tố nào? A. Chủ nghĩa xã hội khoa học với phong trào công nhân. B. Chủ nghĩa Mác-Lênin với phong trào công nhân và phong trào yêu nước. C. Phong trào công nhân với phong trào nông dân. D. Chủ nghĩa quốc tế vô sản với phong trào giải phóng dân tộc.,B,B,B,B,B,B
43,"Theo Hồ Chí Minh, một trong những nguyên tắc xây dựng Đảng là Đảng phải luôn luôn làm tròn nhiệm vụ gì? A. Lãnh đạo cuộc kháng chiến. B. Giải phóng dân tộc, làm cho Tổ quốc giàu mạnh, đồng bào sung sướng. C. Lãnh đạo Nhà nước. D. Xây dựng đạo đức, văn minh.",B,B,B,B,B,B
44,"Hồ Chí Minh ví tự phê bình và phê bình trong Đảng như việc làm nào? A. Như việc dùng thước đo. B. Như mỗi ngày phải rửa mặt. C. Như người cầm lái vững vàng. D. Như việc tưới cây, vun gốc.",B,B,B,B,B,B
45,"Theo Hồ Chí Minh, căn bệnh nào được xem là ""giặc nội xâm"" đáng sợ hơn kẻ địch bên ngoài? A. Chủ nghĩa giáo điều. B. Tham ô, lãng phí, quan liêu. C. Chia rẽ bè phái. D. Nói suông, hình thức.",B,B,B,B,B,B
46,"Tiêu chuẩn chủ yếu của cán bộ theo Hồ Chí Minh là gì? A. Có tài năng vượt trội. B. Có trình độ học vấn cao. C. Cần kiệm liêm chính, chí công vô tư. D. Tận tụy phục vụ nhân dân.",C,C,D,C,C,C
47,"Hồ Chí Minh là người tham gia lãnh đạo soạn thảo mấy bản Hiến pháp ở cương vị Chủ tịch nước? A. Một (1946). B. Hai (1946 và 1959). C. Ba (1946, 1959 và 1980). D. Bốn.",B,B,B,B,B,B
48,"Theo Hồ Chí Minh, Nhà nước vì dân là nhà nước phục vụ lợi ích và nguyện vọng của nhân dân, không có đặc quyền đặc lợi, thực sự trong sạch và có phẩm chất nào? A. Chủ nghĩa cá nhân. B. Cần kiệm liêm chính. C. Tuyệt đối phục tùng. D. Dân chủ và tập trung.",B,B,B,B,B,B
49,"Theo Hồ Chí Minh, thước đo một Nhà nước vì dân là gì? A. Có hệ thống luật pháp chặt chẽ. B. Được lòng dân. C. Quản lý bằng chuyên chính vô sản. D. Phát triển kinh tế nhanh.",B,B,B,B,B,B
50,"Theo Hồ Chí Minh, để đạo đức cách mạng thấm sâu vào đời sống xã hội, cán bộ, đảng viên phải làm gương về những mặt nào? A. Tinh thần, vật chất và văn hóa. B. Đạo đức, trí tuệ và tài năng. C. Lời nói và hành động. D. Cần, kiệm, liêm, chính.",A,A,C,D,D,C
51,"Hồ Chí Minh khẳng định: ""Muôn việc thành công hoặc thất bại đều do..."" yếu tố nào quyết định? A. Cán bộ tốt hoặc kém. B. Đường lối đúng đắn. C. Sự ủng hộ của nhân dân. D. Sự đoàn kết quốc tế.",A,A,A,A,A,A
52,"Theo Hồ Chí Minh, cốt lõi của phẩm chất ""Hiếu với dân"" là gì? A. Thương dân, tin dân, thân dân, học hỏi dân, lấy trí tuệ ở dân, kính trọng dân. B. Sẵn sẵn hy sinh tính mạng. C. Tuyệt đối tuân thủ mệnh lệnh Đảng. D. Chăm lo đời sống vật chất.",A,A,A,A,A,A
53,"Hồ Chí Minh coi đạo đức cách mạng là gì của người cách mạng? A. Ngọn cờ. B. Gốc, là nền tảng. C. Vũ khí. D. Phương pháp.",B,B,B,B,B,B
54,"Hồ Chí Minh cho rằng: ""Đảng ta là đạo đức, là văn minh"" trong dịp nào? A. Lễ Kỷ niệm 30 năm Ngày thành lập Đảng (1960). B. Báo cáo chính trị tại Đại hội II (1951). C. Di chúc (1969). D. Tuyên ngôn Độc lập (1945).",A,B,A,A,A,A
55,"Tính chất nào là nội dung cơ bản của nền văn hóa mới Việt Nam mà Hồ Chí Minh chủ trương xây dựng? A. Dân tộc, khoa học và đại chúng. B. Hiện đại, tiên tiến, nhân văn. C. Toàn diện, sâu sắc, cách mạng. D. Bản sắc, dân chủ, tiến bộ.",A,A,A,A,A,A
56,"Theo Hồ Chí Minh, mục tiêu của văn hóa là gì? A. Quyền sống, quyền sung sướng, quyền tự do, quyền mưu cầu hạnh phúc. B. Xây dựng kinh tế tri thức. C. Nâng cao dân trí. D. Xóa nạn mù chữ.",A,A,A,A,A,A
57,"Theo Hồ Chí Minh, đạo đức là gốc, nhưng cái gì cũng rất quan trọng, nếu thiếu thì làm việc gì cũng khó? A. Trí tuệ. B. Tài năng (Tài). C. Sức khỏe. D. Lý luận.",B,B,B,B,B,B
58,"Theo Hồ Chí Minh, tình yêu thương con người phải được xây dựng trên lập trường nào? A. Lập trường truyền thống dân tộc. B. Lập trường tôn giáo. C. Lập trường của giai cấp công nhân (Chủ nghĩa nhân đạo cộng sản). D. Lập trường nhân văn phương Tây.",C,C,C,C,C,C
59,"Theo Hồ Chí Minh, đức tính nào được xem là ""bốn đức tính cơ bản của con người, giống như bốn mùa của trời, bốn phương của đất""? A. Nhân, Nghĩa, Lễ, Trí. B. Trung, Hiếu, Cần, Kiệm. C. Cần, Kiệm, Liêm, Chính. D. Chí công, Vô tư, Nhân ái, Khoan dung.",C,C,C,C,C,A
60,"Trong tư tưởng đạo đức Hồ Chí Minh, đức và tài, hồng và chuyên, phẩm chất và năng lực phải thống nhất làm một, trong đó yếu tố nào là gốc? A. Tài. B. Đức (Đạo đức). C. Chuyên môn. D. Lý luận.",B,B,B,B,B,B
61,"Theo Hồ Chí Minh, tư tưởng và tác phong mới mà mỗi người cần bồi dưỡng cho mình để xây dựng chủ nghĩa xã hội là gì? A. Có ý thức làm chủ nhà nước. B. Có tinh thần tập thể xã hội chủ nghĩa và tư tưởng ""mình vì mọi người, mọi người vì mình"". C. Có quan điểm ""tất cả phục vụ sản xuất"". D. Tất cả các phương án trên.",D,D,D,D,D,D
62,"Hồ Chí Minh cho rằng, việc tu dưỡng đạo đức phải được thực hiện trong bao lâu? A. Giai đoạn khó khăn. B. Khi làm cán bộ. C. Suốt đời. D. Khi còn trẻ.",C,C,C,C,C,C
63,"Trong xây dựng đạo đức mới, nguyên tắc nào được Hồ Chí Minh cho là quan trọng bậc nhất? A. Kế thừa truyền thống dân tộc. B. Nói đi đôi với làm, nêu gương về đạo đức. C. Tự phê bình và phê bình. D. Tu dưỡng suốt đời.",B,B,B,B,B,B
64,"Phương châm ""cầu đồng tồn dị"" trong Mặt trận dân tộc thống nhất được Hồ Chí Minh nhấn mạnh nhằm mục đích gì? A. Lấy cái chung để hạn chế cái riêng, cái khác biệt. B. Tìm kiếm sự thống nhất về mục tiêu. C. Giúp đỡ nhau cùng tiến bộ. D. Tạo nên sự đoàn kết lâu dài.",A,A,A,A,A,A
65,"Theo Hồ Chí Minh, Mặt trận dân tộc thống nhất cần được xây dựng trên nền tảng liên minh nào? A. Công nhân – Nông dân. B. Công nhân – Tư sản – Trí thức. C. Công nhân – Nông dân – Trí thức. D. Nông dân – Trí thức – Tiểu tư sản.",C,C,C,C,C,C
66,"Trong quan điểm của Hồ Chí Minh, Đảng Cộng sản Việt Nam phải làm tròn nhiệm vụ giải phóng dân tộc, làm cho Tổ quốc giàu mạnh, đồng bào sung sướng, vì Đảng không có mục đích nào? A. Mục đích cầm quyền. B. Mục đích tự thân. C. Mục đích phục vụ quốc tế. D. Mục đích xây dựng Nhà nước.",B,B,B,B,B,B
67,"Theo Hồ Chí Minh, để cán bộ ngành tư pháp nêu cao gương mẫu, họ cần phải thực hiện điều gì? A. Tuyệt đối tuân thủ pháp luật. B. Phụng công, thủ pháp, chí công, vô tư. C. Tránh chủ nghĩa cá nhân. D. Không được phép sai lầm.",B,B,B,B,B,B
68,"Theo Hồ Chí Minh, dân chủ trong chủ nghĩa xã hội là gì của nhân dân? A. Công cụ quyền lực. B. Của quý báu nhất. C. Nền tảng pháp lý. D. Nguồn lực vô tận.",B,B,B,B,B,B
69,"Hồ Chí Minh nhấn mạnh cần phải chống lại những tư tưởng và tác phong xấu nào? A. Chủ nghĩa cá nhân. B. Quan liêu, mệnh lệnh. C. Tham ô, lãng phí. D. Tất cả các phương án trên.",D,D,D,D,D,D
70,"Hồ Chí Minh kêu gọi nhân dân làm gì để bảo vệ môi trường sinh thái, thể hiện tư tưởng kế thừa Lão giáo? A. Tẩy chay hàng hóa nước ngoài. B. Tổ chức ""Tết trồng cây"". C. Sống gần gũi thiên nhiên. D. Phát triển kinh tế nông nghiệp.",B,B,B,B,B,B
71,"Điều mong muốn cuối cùng của Hồ Chí Minh ghi trong bản Di chúc là gì? A. Đánh thắng giặc Mỹ xâm lược. B. Xây dựng một nước Việt Nam hòa bình, thống nhất, độc lập, dân chủ và giàu mạnh, và góp phần xứng đáng vào sự nghiệp cách mạng thế giới. C. Xây dựng chủ nghĩa xã hội ở miền Bắc. D. Chỉnh đốn lại Đảng.",B,B,B,B,B,B
72,"Theo Hồ Chí Minh, cách mạng giải phóng dân tộc trong điều kiện của Việt Nam muốn thắng lợi phải do ai lãnh đạo? A. Giai cấp công nhân. B. Đảng cộng sản. C. Liên minh công - nông. D. Toàn dân tộc.",B,B,B,B,B,B
73,Lãnh tụ Nguyễn Ái Quốc tham gia sáng lập Hội Liên hiệp các dân tộc bị áp bức tại Trung Quốc vào thời gian nào? A. Những năm 1910. B. Những năm 1920. C. Năm 1930. D. Năm 1941.,B,B,B,B,B,B
74,"Theo Hồ Chí Minh, tư tưởng ""trung với nước, hiếu với dân"" đã tạo nên một cuộc cách mạng sâu sắc trong lĩnh vực đạo đức, khác với đạo đức cũ ở chỗ nào? A. Trung với vua, hiếu với cha mẹ. B. Trung với nước, hiếu với toàn dân, với đồng bào. C. Đạo đức cũ như người đầu ngược xuống đất chân chổng lên trời, đạo đức mới như người hai chân đứng vững được dưới đất. D. Cả B và C.",D,D,D,D,D,D
75,"Trong Di chúc, Hồ Chí Minh căn dặn Đảng cần phải chăm lo giáo dục đạo đức cách mạng cho lực lượng nào để đào tạo họ thành những người thừa kế xây dựng chủ nghĩa xã hội vừa ""hồng"" vừa ""chuyên""? A. Phụ nữ. B. Đoàn viên và thanh niên. C. Trí thức. D. Cán bộ chủ chốt.",B,B,B,B,B,B
76,"Hồ Chí Minh nhấn mạnh: ""Cần với kiệm, phải đi đôi với nhau, như...""? A. ...hai cánh chim của con người. B. ...hai chân của con người. C. ...lý luận và thực tiễn. D. ...nguồn và sông.",B,B,B,B,B,B
77,"Hồ Chí Minh cho rằng: ""Đấu tranh chống chủ nghĩa cá nhân không phải là..."" gì? A. ...việc của toàn Đảng. B. ...giày xéo lên lợi ích cá nhân. C. ...việc của cán bộ. D. ...tự phê bình và phê bình.",B,B,B,B,B,B
78,"Hồ Chí Minh khẳng định: ""Mọi việc đều do người làm ra""; ""trong bầu trời không gì quý bằng nhân dân, trong thế giới không gì mạnh bằng sức mạnh đoàn kết của nhân dân"". Điều này nhấn mạnh vai trò nào của con người? A. Con người là mục tiêu của cách mạng. B. Con người là vốn quý nhất, là động lực của cách mạng. C. Con người là chủ thể sáng tạo. D. Con người là đối tượng phục vụ.",B,B,B,B,B,B
79,"Hồ Chí Minh cho rằng, văn hóa phải phục vụ quần chúng nhân dân, bằng cách phải miêu tả cho hay, cho thật, cho hùng hồn, và phải trả lời được những câu hỏi nào? A. Viết cho ai? Mục đích viết? Lấy tài liệu đâu mà viết? Cách viết như thế nào?. B. Nền văn hóa có tính dân tộc, khoa học, đại chúng?. C. Văn hóa là mục tiêu, động lực của cách mạng?. D. Tất cả các phương án trên.",A,A,C,A,A,A
80,"Theo Hồ Chí Minh, Nhà nước Việt Nam mới là người đại diện, bảo vệ, đấu tranh cho lợi ích của những lực lượng nào? A. Giai cấp công nhân. B. Nhân dân lao động. C. Toàn dân tộc. D. Tất cả các lực lượng trên.",D,D,D,D,C,D
