id,question,answer
16,Lênin đã chỉ rõ học thuyết của Mác ra đời là sự thừa kế thẳng và trực tiếp những học thuyết của những đại biểu xuất sắc nhất trong những lĩnh vực nào?,"Trong triết học, trong kinh tế chính trị học và trong chủ nghĩa xã hội."
17,"Hình thức thứ ba của chủ nghĩa duy vật là gì, và nó được xây dựng bởi ai?","Phép biện chứng duy vật, được C.Mác và Ph.Ăngghen xây dựng, sau đó được V.I.Lênin phát triển."
18,"Theo Hồ Chí Minh, cán bộ, đảng viên cần phải làm gương về ba mặt nào?","Tinh thần, vật chất và văn hóa."
19,Tính khách quan của quy luật xã hội thường biểu hiện ra như là gì?,"Những xu hướng, mang tính xu hướng."
20,"Cán bộ, đảng viên cần tuyệt đối trung thành với Đảng bằng cách đặt lợi ích nào lên trên hết, trước hết?","Lợi ích của Đảng (tức là lợi ích của dân tộc, của Tổ quốc)."
21,"Trong quan hệ biện chứng giữa nguyên nhân và kết quả, sau khi xuất hiện, kết quả lại có ảnh hưởng trở lại đối với nguyên nhân theo mấy hướng?",Theo hai hướng: Thúc đẩy (tích cực) hoặc cản trở (tiêu cực) sự hoạt động của nguyên nhân.
22,Mục tiêu tổng quát phải đạt tới khi kết thúc thời kỳ quá độ lên chủ nghĩa xã hội ở nước ta là gì (theo Cương lĩnh 1991)?,"Xây dựng xong về cơ bản những cơ sở kinh tế của chủ nghĩa xã hội, với kiến trúc thượng tầng về chính trị và tư tưởng, văn hóa phù hợp, làm cho nước ta trở thành một nước xã hội chủ nghĩa phồn vinh."
23,"Trong triết học Phật giáo, thuyết ""Tứ đế"" gồm những chân lý nào?","Khổ đế (Dukkha-satya), Tập đế (Samudaya-satya), Diệt đế (Nirodha-satya), Đạo đế (Marga-satya)."
24,Tính cụ thể của chân lý là đặc tính gì?,"Tính cụ thể của chân lý là đặc tính gắn liền và phù hợp giữa nội dung phản ánh với một đối tượng nhất định cùng các điều kiện, hoàn cảnh lịch sử, cụ thể."
25,"Hồ Chí Minh cho rằng, nếu không giữ đúng cần, kiệm, liêm, chính thì cán bộ, công chức dễ trở nên thế nào?","Dễ trở nên hủ bại, biến thành sâu mọt của dân."
26,Hai mặt của vấn đề cơ bản của triết học là gì?,"Mặt thứ nhất: Giữa ý thức và vật chất thì cái nào có trước, cái nào có sau, cái nào quyết định cái nào? Mặt thứ hai: Con người có khả năng nhận thức được thế giới hay không?"
27,"Theo Hồ Chí Minh, ai là chủ thể của khối đại đoàn kết toàn dân tộc?","Toàn thể nhân dân, tất cả những người Việt Nam yêu nước ở các giai cấp, các tầng lớp trong xã hội."
28,Mặt đối lập là gì?,"Những mặt có những đặc điểm, những thuộc tính, những tính quy định có khuynh hướng biến đổi trái ngược nhau."
29,"Theo Hồ Chí Minh, nếu không có đạo đức thì dù tài giỏi mấy cũng không thể làm được gì?",Không lãnh đạo được nhân dân.
30,Điểm nổi bật của Cương lĩnh xây dựng đất nước trong thời kỳ quá độ lên chủ nghĩa xã hội (năm 1991) là gì?,"Tổng kết hơn 60 năm Đảng lãnh đạo cách mạng Việt Nam; chỉ ra những thành công, khuyết điểm, sai lầm và nêu ra năm bài học lớn."
31,"Trong triết học Mác-Lênin, phạm trù nào được coi là một trong những phạm trù nền tảng, cơ bản của lý luận nhận thức?",Thực tiễn.
32,"Theo Hồ Chí Minh, muốn làm cho Đảng vững mạnh thì việc cần làm trước tiên là gì?","Chỉnh đốn lại Đảng, làm cho mỗi đảng viên, mỗi đoàn viên, mỗi chi bộ đều ra sức làm tròn nhiệm vụ đảng giao phó cho mình, toàn tâm toàn ý phục vụ nhân dân."
33,"Mối liên hệ, theo quan điểm duy vật biện chứng, là gì?","Phạm trù triết học dùng để chỉ sự quy định, sự tác động qua lại, sự chuyển hóa lẫn nhau giữa các sự vật, hiện tượng hay giữa các mặt của một sự vật, của một hiện tượng trong thế giới."
34,Quan điểm toàn diện đòi hỏi chúng ta phải biết phân biệt điều gì trong các mối liên hệ của sự vật?,"Phải biết phân biệt từng mối liên hệ, phải biết chú ý tới mối liên hệ bên trong, mối liên hệ bản chất, mối liên hệ chủ yếu, mối liên hệ tất nhiên, và lưu ý đến sự chuyển hoá lẫn nhau giữa các mối liên hệ."
35,"Đảng Cộng sản Việt Nam đã được thành lập vào ngày, tháng, năm nào?",3-2-1930.
36,"Theo Hồ Chí Minh, căn bệnh nào là nguồn gốc của mọi thứ tệ nạn?",Chủ nghĩa cá nhân.
37,"Theo V.I. Lênin, có thể định nghĩa vắn tắt phép biện chứng là gì?",Học thuyết về sự thống nhất của các mặt đối lập.
38,"Theo quan điểm duy vật biện chứng, sự thay đổi về chất của sự vật phụ thuộc vào những yếu tố nào?",Sự thay đổi các yếu tố cấu thành sự vật lẫn sự thay đổi phương thức liên kết giữa các yếu tố ấy (kết cấu của sự vật).
39,"Về mặt chính trị, đặc trưng của xã hội xã hội chủ nghĩa theo Hồ Chí Minh là gì?","Là xã hội do nhân dân lao động làm chủ, Nhà nước là công cụ của dân, do dân, vì dân."
40,Mối quan hệ giữa cái chung và cái riêng trong phép biện chứng duy vật là gì?,"Cái chung chỉ tồn tại trong cái riêng, thông qua cái riêng mà biểu hiện sự tồn tại của mình."
41,Chức năng của Kiến trúc thượng tầng là gì?,"Là công cụ để bảo vệ, duy trì và phát triển cơ sở hạ tầng đã sinh ra nó."
42,"Trong quá trình phát triển của sự vật, sự chuyển hóa từ cái đơn nhất thành cái chung là biểu hiện của quá trình nào?",Quá trình cái mới ra đời thay thế cái cũ.
43,Đường lối chung của cách mạng xã hội chủ nghĩa trong giai đoạn mới (ĐH IV) xác định cuộc cách mạng nào là then chốt?,Cách mạng khoa học-kỹ thuật.
44,Đặc điểm của thời đại ngày nay mà lý luận triết học Mác-Lênin cần phải bổ sung và phát triển là gì?,Sự tương tác giữa hai quá trình cách mạng - cách mạng khoa học công nghệ và cách mạng xã hội.
45,"Theo Hồ Chí Minh, để xây dựng một nền văn hóa Việt Nam có tính chất dân tộc, khoa học và đại chúng cần phải làm gì?","Phải triệt để tẩy trừ mọi di tích thuộc địa và ảnh hưởng nô dịch của văn hóa đế quốc; đồng thời, phát triển những truyền thống tốt đẹp của văn hóa dân tộc và hấp thụ những cái mới của văn hóa tiến bộ trên thế giới."
46,Phủ định biện chứng có hai đặc trưng cơ bản nào?,Tính khách quan và tính kế thừa.
47,"Theo quan điểm của Hồ Chí Minh, nhiệm vụ nào của thời kỳ quá độ lên chủ nghĩa xã hội là chủ chốt và lâu dài?",Xây dựng nền kinh tế mới có công nghiệp và nông nghiệp hiện đại (xây dựng).
48,"Mục đích của việc học tập, nghiên cứu lý luận triết học nói chung, triết học Mác - Lênin nói riêng là gì?","Bồi dưỡng thế giới quan duy vật và rèn luyện tư duy biện chứng, đề phòng và chống chủ nghĩa chủ quan, tránh phương pháp tư duy siêu hình."
49,Phương thức sản xuất vật chất là gì?,Là cách thức con người thực hiện quá trình sản xuất vật chất ở những giai đoạn lịch sử nhất định của xã hội loài người.
50,Tính chất giai cấp của ý thức xã hội được thể hiện như thế nào trong xã hội có giai cấp?,Phản ánh những điều kiện sinh hoạt vật chất của giai cấp.
51,Khái niệm “Tư tưởng Hồ Chí Minh” được khẳng định là nền tảng tư tưởng và kim chỉ nam cho hành động của Đảng tại Đại hội nào?,Đại hội đại biểu toàn quốc lần thứ XI (năm 2011).
52,"Theo Hồ Chí Minh, phẩm chất đạo đức nào được coi là ""gốc"" của người cách mạng?",Đạo đức cách mạng.
53,Phạm trù nào chỉ sự thay đổi sự vật này bằng sự vật khác trong quá trình vận động và phát triển?,Phủ định.
54,"Phạm trù triết học dùng để chỉ tính quy định vốn có của sự vật về mặt số lượng, quy mô, trình độ, nhịp điệu của sự vận động và phát triển cũng như các thuộc tính của sự vật là gì?",Lượng.
55,Triết học của Gioocgiơ Béccli thuộc trường phái nào?,Chủ nghĩa duy tâm chủ quan.
56,Đường lối chung của cách mạng Việt Nam sau Đại hội III (1960) là gì?,Thực hiện đồng thời hai chiến lược cách mạng khác nhau ở hai miền: Đẩy mạnh cách mạng xã hội chủ nghĩa ở miền Bắc và tiến hành cách mạng dân tộc dân chủ nhân dân ở miền Nam.
57,"Trong triết học Mác-Lênin, cái gì được coi là thành tựu vĩ đại nhất của tư tưởng khoa học?",Chủ nghĩa duy vật lịch sử của Mác.
58,Đoàn kết quốc tế trong tư tưởng Hồ Chí Minh xuất phát từ tính chất quốc tế của giai cấp nào?,Giai cấp công nhân.
59,"Theo Hồ Chí Minh, phẩm chất nào cần có ở người thanh niên, sinh viên Việt Nam?","Phải có đức, có tài."
60,"Tính đa dạng, phong phú của mối liên hệ biểu hiện như thế nào?","Sự vật khác nhau, hiện tượng khác nhau, không gian khác nhau, thời gian khác nhau thì các mối liên hệ biểu hiện khác nhau."
61,"Phạm trù nào chỉ tổng hợp tất cả những mặt, những yếu tố, những quá trình tạo nên sự vật?",Nội dung.
62,Nhiệm vụ của nhận thức khoa học là gì trong mối liên hệ nhân quả?,"Phải tìm ra nguyên nhân của những hiện tượng trong tự nhiên, xã hội và tư duy để giải thích được những hiện tượng đó."
63,"Theo Hồ Chí Minh, cần kiệm liêm chính có vai trò gì đối với đời sống mới và các phong trào thi đua yêu nước?","Là nền tảng của đời sống mới, của các phong trào thi đua yêu nước."
64,Nguyên tắc cơ bản trong việc xác lập mối quan hệ giữa cá nhân và tập thể là gì theo triết học Mác-Lênin?,"Mối quan hệ giữa lợi ích cá nhân và lợi ích cộng đồng xã hội, vừa có sự thống nhất vừa có mâu thuẫn."
65,"Phạm trù nào chỉ sự tổng hợp tất cả những mặt, những thuộc tính, những mối liên hệ cơ bản và phổ biến nhất của toàn bộ thế giới hiện thực?",Phạm trù triết học.
66,Đảng ta đã khẳng định những nguyên tắc có tính nguyên tắc cần kiên định là gì (tại Hội nghị TW 6 lần 2 khóa VIII)?,"Độc lập dân tộc gắn liền với chủ nghĩa xã hội; chủ nghĩa Mác-Lênin và tư tưởng Hồ Chí Minh; Đảng Cộng sản Việt Nam là lực lượng lãnh đạo cách mạng Việt Nam; không chấp nhận “đa nguyên, đa đảng”."
67,Nội dung cốt lõi của Quy luật phủ định của phủ định là gì?,"Nêu lên mối liên hệ, sự kế thừa giữa cái khẳng định và cái phủ định, nhờ đó phủ định biện chứng là điều kiện cho sự phát triển; nó bảo tồn nội dung tích cực của các giai đoạn trước và bổ sung thêm những thuộc tính mới làm cho sự phát triển đi theo đường 'xoáy ốc'."
68,Mục tiêu về kinh tế trong xã hội xã hội chủ nghĩa theo Hồ Chí Minh là gì?,Phải xây dựng được nền kinh tế phát triển cao gắn bó mật thiết với mục tiêu về chính trị.
69,Quan điểm của Hêraclit về mọi sự vật trong thế giới là gì?,"Mọi sự vật trong thế giới của chúng ta đều thay đổi, vận động, phát triển không ngừng."
70,"Vận động, theo nghĩa chung nhất, được Ph. Ăngghen định nghĩa như thế nào?","Bao gồm tất cả mọi sự thay đổi và mọi quá trình diễn ra trong vũ trụ, kể từ sự thay đổi vị trí đơn giản đến tư duy."
71,"Trong xã hội có giai cấp, hai giai cấp cơ bản đối lập nhau là gì?",Giai cấp thống trị và giai cấp bị trị (hai giai cấp cơ bản đối lập nhau là sản phẩm đích thực của chế độ kinh tế - xã hội đó).
72,Luận điểm bất hủ của Hêraclit là gì?,Chúng ta không thể tắm hai lần trên cùng một dòng sông.
73,Nhận thức thông thường có trước loại nhận thức nào và là nguồn chất liệu để làm gì?,Có trước nhận thức khoa học và là nguồn chất liệu để xây dựng nội dung của các khoa học.
74,"Tình trạng suy thoái về tư tưởng chính trị, đạo đức, lối sống của một bộ phận không nhỏ cán bộ, đảng viên được Hội nghị TW 4 khóa XII xác định là vấn đề gì?","Là trọng tâm, xuyên suốt và cấp bách nhất trong ba vấn đề xây dựng Đảng."
75,"Trong Kinh Dịch, nguồn gốc vũ trụ là gì, và nó sinh ra cái gì?","Thái cực, từ đó sinh ra Lưỡng nghi (âm dương)."
76,Mục tiêu chiến lược số một trong tư tưởng và hành động của Hồ Chí Minh là gì?,Con người là mục tiêu của cách mạng.
77,Hạn chế của triết học duy vật trước Mác khi nghiên cứu thế giới là gì?,"Do ảnh hưởng của quan điểm siêu hình - máy móc nên họ cho rằng mọi hiện tượng của thế giới đều được cấu tạo từ những vật thể ban đầu giống nhau, thống nhất với nhau, cùng bị chi phối bởi một số quy luật nhất định."
78,Mâu thuẫn cơ bản là gì?,"Mâu thuẫn quy định bản chất của sự vật, quy định sự phát triển ở tất cả các giai đoạn của sự vật, nó tồn tại trong suốt quá trình tồn tại các sự vật."
79,Mục tiêu của Đảng trong giai đoạn hiện nay theo Tư tưởng Hồ Chí Minh là gì?,"Xây dựng một nước Việt Nam hòa bình, thống nhất, độc lập, dân chủ và giàu mạnh, và góp phần xứng đáng vào sự nghiệp cách mạng thế giới."
80,"Việc nghiên cứu, học tập lịch sử Đảng đối với hệ đại học không chuyên về lý luận chính trị thường tập trung vào những thời kỳ nào?",Đảng Cộng sản Việt Nam ra đời và lãnh đạo đấu tranh giải phóng dân tộc (1930-1945); Đảng lãnh đạo hai cuộc kháng chiến (1945-1975); Đảng lãnh đạo cả nước quá độ lên chủ nghĩa xã hội và thực hiện công cuộc đổi mới (1975-2018).
81,Phạm trù nào chỉ cái hiện chưa có nhưng bản thân khả năng với tư cách 'cái chưa có' đó lại tồn tại?,Khả năng.
82,Tính phổ biến của mối liên hệ biểu hiện như thế nào?,"Bất kỳ một sự vật, hiện tượng nào; ở bất kỳ không gian nào và ở bất kỳ thời gian nào cũng có mối liên hệ với những sự vật, hiện tượng khác."
83,"Theo Hồ Chí Minh, đoàn kết quốc tế cần được thực hiện trên nền tảng nào và với tinh thần nào?","Trên nền tảng chủ nghĩa Mác - Lênin và chủ nghĩa quốc tế vô sản, có lý có tình."
84,"Trong quá trình phát triển của sự vật, phủ định biện chứng thể hiện tính kế thừa như thế nào?","Cái mới chỉ có thể ra đời trên nền tảng của cái cũ, là sự phát triển tiếp tục của cái cũ trên cơ sở gạt bỏ những mặt tiêu cực, lỗi thời, lạc hậu của cái cũ và chọn lọc, giữ lại những mặt tích cực, bổ sung những mặt mới phù hợp với hiện thực."
85,"Trong tư tưởng Hồ Chí Minh, yếu tố nào được coi là gốc, là nền tảng, là sức mạnh, là tiêu chuẩn hàng đầu của người cách mạng?",Đạo đức.
86,Yêu cầu khách quan của sự phát triển lực lượng sản xuất tất yếu dẫn đến điều gì trong quan hệ sản xuất?,Thay thế quan hệ sản xuất cũ bằng quan hệ sản xuất mới phù hợp với trình độ phát triển mới của lực lượng sản xuất.
87,Sự hình thành con người gắn liền với sự hình thành của những quan hệ nào?,Gắn liền với sự hình thành các quan hệ giữa người với người.
88,Quan điểm của Hồ Chí Minh về việc Đảng cần phải ‘tẩy bỏ những phần tử hủ hóa’ nhằm mục đích gì?,Để Đảng sẽ luôn luôn lớn mạnh cả về số lượng và chất lượng.
89,"Sau Hiệp định Paris, Trung ương Đảng đã đề ra kế hoạch hai năm khôi phục và phát triển kinh tế nào?",Kế hoạch 1974-1975.
90,Quy luật nào được coi là hạt nhân của phép biện chứng?,Quy luật thống nhất và đấu tranh của các mặt đối lập (quy luật mâu thuẫn).
91,Đavít Hium là người sáng lập những nguyên tắc cơ bản của thuyết nào ở châu Âu thời cận đại?,Thuyết không thể biết.
92,Sự thống nhất của các mặt đối lập là gì?,"Sự nương tựa vào nhau, không tách rời nhau giữa các mặt đối lập, sự tồn tại của mặt này phải lấy sự tồn tại của mặt kia làm tiền đề."
93,"Trong quá trình nhận thức, con người phải đi theo trình tự nào?",Từ trực quan sinh động đến tư duy trừu tượng và từ tư duy trừu tượng đến thực tiễn.
94,"Trong công cuộc xây dựng chủ nghĩa xã hội ở miền Bắc, Đại hội III (1960) đã xác định cuộc cách mạng xã hội chủ nghĩa là một quá trình cải biến cách mạng về mọi mặt, đó là quá trình đấu tranh giữa hai con đường nào?",Con đường xã hội chủ nghĩa và con đường tư bản chủ nghĩa.
95,Chân lý là gì theo chủ nghĩa duy vật biện chứng?,Những tri thức phù hợp với hiện thực khách quan và được thực tiễn kiểm nghiệm.
96,"Mối quan hệ nào được Hồ Chí Minh coi là mối quan hệ khăng khít, máu thịt?",Mối quan hệ giữa Đảng Cộng sản – Giai cấp công nhân – Nhân dân Việt Nam.
97,Hồ Chí Minh đã phát triển quan niệm Nho giáo về Trung Hiếu thành những nội dung mới rộng lớn như thế nào?,"Trung với nước, Hiếu với toàn dân, với đồng bào."
98,Phạm trù nào chỉ cái do những nguyên nhân cơ bản bên trong của kết cấu vật chất quyết định và trong những điều kiện nhất định nó phải xảy ra như thế chứ không thể khác được?,Tất nhiên.
99,"Quy luật nào cho biết phương thức của sự vận động, phát triển của sự vật?",Quy luật chuyển hóa từ những thay đổi về lượng thành những thay đổi về chất và ngược lại.
100,Bản chất của nhận thức là gì theo chủ nghĩa duy vật biện chứng?,"Là quá trình phản ánh tích cực, tự giác và sáng tạo thế giới khách quan vào bộ óc người trên cơ sở thực tiễn."
101,Nguyên tắc phương pháp luận rút ra từ mối quan hệ giữa tất nhiên và ngẫu nhiên là gì?,"Trong hoạt động thực tiễn chúng ta phải dựa vào cái tất nhiên, mà không thể dựa vào cái ngẫu nhiên, nhưng cũng không được bỏ qua hoàn toàn cái ngẫu nhiên."
102,Tính khách quan của phủ định biện chứng thể hiện như thế nào?,"Nội dung và khuynh hướng của sự phát triển là khách quan, không phụ thuộc vào ý muốn, ý chí của con người."
103,"Trong quá trình vận động và phát triển của sự vật, khuynh hướng chủ đạo của nội dung và hình thức là gì?","Khuynh hướng chủ đạo của nội dung là biến đổi; khuynh hướng chủ đạo của hình thức là tương đối bền vững, chậm biến đổi hơn so với nội dung."
104,Mối quan hệ giữa vật chất và ý thức có ý nghĩa phương pháp luận như thế nào?,"Con người phải tôn trọng khách quan, đồng thời phát huy tính năng động chủ quan của mình."
105,"Trong xã hội có giai cấp, mâu thuẫn đối kháng là mâu thuẫn giữa những đối tượng nào?","Giữa những giai cấp, những tập đoàn người có lợi ích cơ bản đối lập nhau."
106,"Theo Hồ Chí Minh, lãng phí được xác định là lãng phí những gì?","Lãng phí sức lao động, lãng phí thời giờ, lãng phí tiền của."
107,"Trong giai đoạn kháng chiến chống Mỹ, miền Bắc có vai trò gì đối với miền Nam?","Miền Nam là tiền tuyến lớn, miền Bắc là hậu phương lớn."
108,"Trong Nho giáo, luân thường được hiểu là gì?","Luân là năm quan hệ lớn (ngũ luân); Thường là năm đức tính thường xuyên phải trau dồi (ngũ thường: Nhân, nghĩa, lễ, trí, tín)."
109,"Theo Hồ Chí Minh, nhiệm vụ xây dựng chế độ dân chủ trong thời kỳ quá độ là nhiệm vụ về lĩnh vực nào?",Chính trị.
110,Phạm trù nào chỉ sự biểu hiện ra 'bên ngoài' của bản chất?,Hiện tượng.
111,"Theo Hồ Chí Minh, để tránh căn bệnh “lý luận suông”, người học cần phải làm gì?","Phải đem lý luận áp dụng vào công việc thực tế, phải ra sức thực hành."
112,"Phạm trù triết học dùng để chỉ tính quy định khách quan vốn có của sự vật, là sự thống nhất hữu cơ của những thuộc tính làm cho sự vật là nó chứ không phải là cái khác là gì?",Chất.
113,"Mối quan hệ nào được Ph.Ăngghen nhận xét là gắn với nhau trong một khái niệm về sự tác động qua lại một cách phổ biến, trong đó nguyên nhân và kết quả luôn thay đổi vị trí cho nhau?",Nguyên nhân và kết quả.
114,"Theo Hồ Chí Minh, tiêu chí để tập hợp, đoàn kết mọi người dân vào khối đại đoàn kết là gì?","Ai có tài, có đức, có sức, có lòng phụng sự Tổ quốc và phục vụ nhân dân thì ta đoàn kết với họ."
115,"Trong quan hệ biện chứng giữa nội dung và hình thức, cái nào giữ vai trò quyết định?",Nội dung giữ vai trò quyết định đối với hình thức trong quá trình vận động phát triển của sự vật.
116,Thuyết Âm Dương và Ngũ hành được kết hợp làm một vào thời nào và với đại biểu nào?,"Thời Chiến Quốc, đại biểu lớn nhất là Trâu Diễn."
117,"Theo Lênin, sự phát triển của cái gì là một cuộc 'đấu tranh' giữa các mặt đối lập?",Sự phát triển là một cuộc 'đấu tranh' giữa các mặt đối lập.
118,"Theo Hồ Chí Minh, Nhà nước quản lý bằng gì?",Quản lý bằng Hiến pháp và bằng pháp luật nói chung.
119,Khuynh hướng phát triển của sự vật (Quy luật phủ định của phủ định) được khái quát theo con đường nào?,Theo đường 'xoáy ốc'.
120,Sản xuất xã hội bao gồm những quá trình nào?,"Sản xuất vật chất, sản xuất tinh thần và sản xuất ra bản thân con người."
121,"Trong Di chúc, Hồ Chí Minh mong muốn thanh niên được chăm lo giáo dục gì?","Giáo dục đạo đức cách mạng, đào tạo họ thành những người thừa kế xây dựng chủ nghĩa xã hội vừa 'hồng' vừa 'chuyên'."
122,Đại hội đại biểu toàn quốc lần thứ V của Đảng (3-1982) xác định hai nhiệm vụ chiến lược của cách mạng Việt Nam là gì?,Xây dựng thành công chủ nghĩa xã hội và bảo vệ vững chắc Tổ quốc Việt Nam xã hội chủ nghĩa.
123,"Phạm trù nào chỉ sự tác động lẫn nhau giữa các mặt trong một sự vật hoặc giữa các sự vật với nhau, gây ra một biến đổi nhất định nào đó?",Nguyên nhân.
124,Điểm cốt lõi của tư tưởng Hồ Chí Minh về cách mạng Việt Nam là gì?,"Bài học về sự kết hợp chặt chẽ nhuần nhuyễn đấu tranh giai cấp và đấu tranh dân tộc, giải phóng dân tộc và giải phóng xã hội."
125,"Mục đích cuối cùng của việc điều hòa mâu thuẫn trong triết học Trung Hoa cổ, trung đại là gì?",Đạt sự hài hòa thống nhất giữa tự nhiên và xã hội.
126,Mặt nào là đặc trưng bản chất để phân biệt con người với loài vật?,Mặt xã hội.
127,Một trong những bài học lớn nhất của cách mạng Việt Nam là gì (theo Đại hội X)?,Trong quá trình đổi mới phải kiên định mục tiêu độc lập dân tộc và chủ nghĩa xã hội trên nền tảng chủ nghĩa Mác-Lênin và tư tưởng Hồ Chí Minh.
128,"Theo Hồ Chí Minh, người ta chỉ có thể trở thành người cộng sản khi nào?",Khi biết làm giàu trí óc của mình bằng sự hiểu biết tất cả những kho tàng tri thức mà nhân loại đã tạo ra.
129,Tính tất yếu của mối liên hệ nhân quả trên thực tế phải được hiểu là gì?,Nguyên nhân tác động trong những điều kiện và hoàn cảnh càng ít khác nhau bao nhiêu thì kết quả do chúng gây ra càng giống nhau bấy nhiêu.
130,Thắng lợi của cuộc Tổng tuyển cử bầu Quốc hội chung của nước Việt Nam thống nhất (25-4-1976) thể hiện ý chí gì của nhân dân?,Thể hiện ý chí đoàn kết toàn dân tộc quyết tâm thực hiện Di chúc thiêng liêng của Chủ tịch Hồ Chí Minh.
131,Mục tiêu và con đường phát triển của dân tộc Việt Nam là gì (theo TTHCM)?,Độc lập dân tộc gắn liền với chủ nghĩa xã hội.
132,Hồ Chí Minh đã khẳng định điều gì về thắng lợi của cách mạng Việt Nam?,Thắng lợi đó trước hết là nhờ cái vũ khí không gì thay thế được là chủ nghĩa Mác - Lênin.
133,Lực lượng sản xuất và quan hệ sản xuất biểu hiện những quan hệ nào của con người trong sản xuất?,Lực lượng sản xuất biểu hiện quan hệ giữa người với tự nhiên; Quan hệ sản xuất biểu hiện quan hệ giữa người với người.
134,"Theo Hồ Chí Minh, “Đạo đức cũ” và “Đạo đức mới” khác nhau như thế nào?","Đạo đức cũ như người đầu ngược xuống đất chân chổng lên trời. Đạo đức mới như người hai chân đứng vững được dưới đất, đầu ngửng lên trời."
135,Thực chất của việc mô hình hóa đối tượng trong tư duy dưới dạng hình ảnh tinh thần là gì?,Quá trình 'sáng tạo lại' hiện thực của ý thức theo nghĩa: mã hóa các đối tượng vật chất thành các ý tưởng tinh thần phi vật chất.
136,Mặt sinh học và mặt xã hội trong mỗi con người có mối quan hệ như thế nào?,"Thống nhất, trong đó mặt sinh học là cơ sở tất yếu tự nhiên, còn mặt xã hội là đặc trưng bản chất."
137,Mặt nào của vấn đề cơ bản của triết học là cơ sở để phân biệt chủ nghĩa duy vật và chủ nghĩa duy tâm?,"Mặt thứ nhất: Giữa ý thức và vật chất thì cái nào có trước, cái nào có sau, cái nào quyết định cái nào?"
138,"Theo Lênin, Nhà nước được sinh ra như thế nào?",Nhà nước như là sản phẩm của sự phân chia xã hội thành giai cấp.
139,"Theo Hồ Chí Minh, vì lợi ích lâu dài thì phải làm gì?",Phải 'trồng người'.
140,"Khái niệm nào được coi là hệ thống các quan điểm chỉ đạo việc tìm tòi, xây dựng, lựa chọn và vận dụng các phương pháp?",Phương pháp luận.
141,"Nguyên tắc cơ bản trong tổ chức, sinh hoạt và hoạt động của Đảng là gì theo Hội nghị Trung ương 6 lần 2 khóa VIII?",Tập trung dân chủ.
142,"Theo Hồ Chí Minh, lý luận chân chính là lý luận được đúc kết từ đâu?","Lý luận do kinh nghiệm cách mạng ở các nước và trong nước ta, do kinh nghiệm từ trước và kinh nghiệm hiện nay gom góp phân tích và kết luận những kinh nghiệm đó thành ra lý luận."
