"STT",question,answer
"14","Bài học kinh nghiệm đầu tiên được rút ra tại Đại hội VI (1986) là gì? A. Đảng phải luôn luôn xuất phát từ thực tế, tôn trọng và hành động theo quy luật khách quan. B. Phải biết kết hợp sức mạnh dân tộc với sức mạnh thời đại. C. Trong toàn bộ hoạt động của mình, Đảng phải quán triệt tư tưởng ""lấy dân làm gốc"". D. Chăm lo xây dựng Đảng ngang tầm với đảng cầm quyền.","C"
"15","Cương lĩnh xây dựng đất nước trong thời kỳ quá độ lên chủ nghĩa xã hội (1991) đã chỉ ra mấy bài học lớn? A. Ba. B. Bốn. C. Năm. D. Sáu.","C"
"16","Bài học lớn đầu tiên được rút ra trong Cương lĩnh năm 1991 là gì? A. Sự nghiệp cách mạng là của nhân dân, do nhân dân, vì nhân dân. B. Nắm vững ngọn cờ độc lập dân tộc và chủ nghĩa xã hội. C. Kết hợp sức mạnh dân tộc với sức mạnh thời đại. D. Sự lãnh đạo đúng đắn của Đảng là nhân tố hàng đầu.","B"
"17","Đặc trưng mới nào của xã hội xã hội chủ nghĩa được bổ sung trong Cương lĩnh năm 2011? A. Dân giàu, nước mạnh, dân chủ, công bằng, văn minh. B. Do nhân dân làm chủ. C. Có nền kinh tế phát triển cao. D. Con người có cuộc sống ấm no, tự do, hạnh phúc.","A"
"18","Đặc trưng nào được bổ sung vào Cương lĩnh 2011 về Nhà nước? A. Nhà nước dân chủ. B. Có Nhà nước pháp quyền xã hội chủ nghĩa của nhân dân, do nhân dân, vì nhân dân do Đảng Cộng sản lãnh đạo. C. Nhà nước của giai cấp công nhân. D. Nhà nước có sự quản lý của Đảng.","B"
"19","Mục tiêu tổng quát phải đạt tới khi kết thúc thời kỳ quá độ là gì theo Cương lĩnh 1991? A. Xây dựng xong về cơ bản những cơ sở kinh tế của chủ nghĩa xã hội, với kiến trúc thượng tầng về chính trị và tư tưởng, văn hóa phù hợp, làm cho nước ta trở thành một nước xã hội chủ nghĩa phồn vinh. B. Hoàn thành công nghiệp hóa, hiện đại hóa. C. Việt Nam trở thành nước công nghiệp. D. Xóa bỏ hoàn toàn chế độ người bóc lột người.","A"
"20","Quan điểm nào được Đảng khẳng định lần đầu tiên tại Đại hội VII (1991)? A. Lấy chủ nghĩa Mác-Lênin làm nền tảng tư tưởng. B. Lấy chủ nghĩa Mác-Lênin và tư tưởng Hồ Chí Minh làm nền tảng tư tưởng và kim chỉ nam cho hành động. C. Xây dựng nền kinh tế thị trường định hướng xã hội chủ nghĩa. D. Thực hiện đổi mới toàn diện.","B"
"21","Nội dung cốt lõi của tính tiên tiến trong nền văn hóa mà Đảng xây dựng (từ Nghị quyết Trung ương V khóa VIII) là gì? A. Lý tưởng độc lập dân tộc và chủ nghĩa xã hội theo chủ nghĩa Mác-Lênin, tư tưởng Hồ Chí Minh. B. Tiếp thu tinh hoa văn hóa nhân loại. C. Lòng yêu nước nồng nàn. D. Sự tinh tế trong ứng xử.","A"
"22","Mục đích của Cuộc vận động ""Học tập và làm theo tấm gương đạo đức Hồ Chí Minh"" (2006) là gì? A. Nhận thức sâu sắc về những nội dung cơ bản, giá trị to lớn của tư tưởng và tấm gương đạo đức Hồ Chí Minh. B. Đẩy lùi sự suy thoái về tư tưởng chính trị, đạo đức, lối sống. C. Tạo sự chuyển biến mạnh mẽ về ý thức tu dưỡng, rèn luyện. D. Tất cả các phương án trên.","D"
"23","Theo Cương lĩnh năm 2011, động lực chủ yếu để phát triển đất nước là gì? A. Phát huy mọi tiềm năng của các thành phần kinh tế. B. Đại đoàn kết toàn dân trên cơ sở liên minh giữa công nhân với nông dân và trí thức do Đảng lãnh đạo. C. Kết hợp hài hòa các lợi ích cá nhân, tập thể và xã hội. D. Phát triển kinh tế tri thức.","B"
"24","Đường lối đổi mới do Đại hội VI (12-1986) đề ra là kết quả của quá trình tổng kết, tìm tòi, khảo nghiệm thực tiễn, từng bước khắc phục lối tư duy nào? A. Chủ nghĩa giáo điều, tư duy siêu hình. B. Chủ quan, duy ý chí, giáo điều, nóng vội. C. Chủ nghĩa cá nhân, quan liêu. D. Chủ nghĩa duy tâm khách quan.","B"
"25","Đặc trưng của mô hình Chủ nghĩa xã hội ở Việt Nam theo Cương lĩnh 2011 có mấy đặc trưng cơ bản? A. 6. B. 7. C. 8. D. 9.","C"
"26","Bài học lớn thứ hai trong các bài học kinh nghiệm của Đảng qua các thời kỳ là gì? A. Nắm vững ngọn cờ độc lập dân tộc và chủ nghĩa xã hội. B. Sự nghiệp cách mạng là của nhân dân, do nhân dân và vì nhân dân. C. Không ngừng củng cố, tăng cường đoàn kết. D. Kết hợp sức mạnh dân tộc với sức mạnh thời đại.","B"
"27","Theo Cương lĩnh năm 2011, quá trình cách mạng Việt Nam đã có những thắng lợi nào? A. Thắng lợi của các cuộc kháng chiến chống xâm lược (Điện Biên Phủ 1954, Đại thắng mùa Xuân 1975). B. Giải phóng dân tộc, thống nhất đất nước, bảo vệ Tổ quốc, làm tròn nghĩa vụ quốc tế. C. Thắng lợi của công cuộc đổi mới. D. Tất cả các phương án trên.","D"
"28","Nguyên tắc tổ chức cơ bản của Đảng Cộng sản Việt Nam là gì? A. Tập trung cao độ. B. Tập trung dân chủ. C. Tuyệt đối phục tùng. D. Công khai, minh bạch.","B"
"29","Theo nhận định của Đảng, nguyên tắc nào là nhân tố hàng đầu quyết định thắng lợi của cách mạng Việt Nam? A. Sự lãnh đạo đúng đắn của Đảng. B. Đoàn kết toàn dân. C. Sự nghiệp cách mạng là của nhân dân. D. Kết hợp sức mạnh dân tộc và thời đại.","A"
"30","Nội dung nào không thuộc phương châm của đường lối kháng chiến chống thực dân Pháp (1945-1954)? A. Toàn dân. B. Toàn diện. C. Thần tốc, quyết thắng. D. Lâu dài và dựa vào sức mình là chính.","C"
"31","Đối tượng đấu tranh chính của Việt Nam trong cuộc kháng chiến chống Pháp (1945-1954) theo Chính cương Đảng Lao động Việt Nam (1951) là gì? A. Tư sản mại bản và đại địa chủ. B. Chủ nghĩa đế quốc xâm lược Pháp và can thiệp Mỹ, và phong kiến phản động. C. Bọn Trốtxkit và Việt Nam Quốc dân Đảng. D. Đế quốc Nhật.","B"
"32","Theo Chính cương Đảng Lao động Việt Nam (1951), tính chất của xã hội Việt Nam lúc bấy giờ có mấy tính chất? A. Hai. B. Ba. C. Bốn. D. Năm.","B"
"33","Trong Chương trình hành động của Đảng Cộng sản Đông Dương (15-6-1932), Đảng nhấn mạnh việc gây dựng một đoàn thể bí mật, có kỷ luật nghiêm ngặt, cứng như sắt, vững như đồng, tức là tổ chức nào? A. Mặt trận Thống nhất. B. Hội Việt Nam Cách mạng Thanh niên. C. Đảng Cộng sản. D. Công hội đỏ.","C"
"34","Trong quá trình xây dựng lực lượng vũ trang ba thứ quân (1945-1954), hình ảnh nào được Đảng và quân đội xây dựng thành công? A. Lực lượng xung kích. B. Bộ đội Công an. C. Bộ đội Cụ Hồ. D. Công an nhân dân.","C"
"35","Nhiệm vụ nào được Hội nghị Trung ương Đảng tháng 5-1941 do Hồ Chí Minh chủ trì đặt lên hàng đầu? A. Cách mạng ruộng đất. B. Giải phóng dân tộc. C. Xây dựng Đảng. D. Xây dựng chính quyền.","B"
"36","Phương pháp cách mạng trong giai đoạn 1939-1945 bao gồm: A. Nắm vững quan điểm bạo lực cách mạng của quần chúng. B. Xây dựng lực lượng chính trị và lực lượng vũ trang. C. Kết hợp đấu tranh chính trị với đấu tranh vũ trang. D. Tất cả các phương án trên.","D"
"37","Giai cấp và dân tộc quan hệ với nhau như thế nào theo quan điểm của chủ nghĩa Mác - Lênin? A. Giai cấp quyết định dân tộc. B. Dân tộc quyết định giai cấp. C. Mật thiết với nhau nhưng là những phạm trù chỉ các quan hệ xã hội khác nhau và không thể thay thế nhau. D. Đồng thời sinh ra và mất đi.","C"
"38","Khái niệm nào được Đảng sử dụng thay cho khái niệm ""hệ thống chuyên chính vô sản"" từ Hội nghị Trung ương 6 khóa VI (1989)? A. Nhà nước pháp quyền xã hội chủ nghĩa. B. Hệ thống chính trị. C. Nhà nước của nhân dân, do nhân dân, vì nhân dân. D. Xã hội dân chủ nhân dân.","B"
"39","Quan điểm nào được Đảng ta khẳng định là một trong những nguy cơ lớn cần phải phòng và chống? A. Sai làm về đường lối. B. Bệnh quan liêu và sự thoái hóa, biến chất của cán bộ, đảng viên. C. Chủ nghĩa cá nhân. D. Cả A và B.","D"
"40","Theo tư duy đổi mới của Đảng, việc bỏ qua chủ nghĩa tư bản được hiểu là bỏ qua nội dung nào? A. Bỏ qua việc thiết lập kiến trúc thượng tầng và quan hệ sản xuất của chủ nghĩa tư bản. B. Bỏ qua việc kế thừa khoa học và công nghệ. C. Bỏ qua kinh nghiệm quản lý tiên tiến. D. Bỏ qua giai đoạn phát triển tư bản chủ nghĩa hoàn toàn.","A"
"41","Về xây dựng Đảng, vấn đề nào được Hội nghị Trung ương 4 khóa XII (2016) xác định là trọng tâm, xuyên suốt và cấp bách nhất? A. Xây dựng đội ngũ cán bộ cấp chiến lược. B. Đổi mới phương thức lãnh đạo. C. Kiên quyết đấu tranh ngăn chặn, đẩy lùi tình trạng suy thoái về tư tưởng chính trị, đạo đức, lối sống. D. Xác định rõ thẩm quyền, trách nhiệm người đứng đầu.","C"
"42","Thời đại nào đã được mở ra trong lịch sử dân tộc Việt Nam sau thắng lợi của Cách mạng Tháng Tám năm 1945? A. Thời đại quá độ lên Chủ nghĩa xã hội. B. Thời đại đấu tranh dân chủ. C. Thời đại độc lập dân tộc gắn liền với chủ nghĩa xã hội. D. Thời đại Hồ Chí Minh.","C"
"43","Theo Hồ Chí Minh, Đảng phải có chủ nghĩa làm cốt, nếu không có chủ nghĩa (lý luận) thì Đảng sẽ như thế nào? A. Như người không có trí khôn, tàu không có bàn chỉ nam. B. Không thể đoàn kết được. C. Không thể hoàn thành sứ mệnh lịch sử. D. Không được nhân dân ủng hộ.","A"
"44","Luận điểm nào về Cương lĩnh chính trị đầu tiên (2-1930) thể hiện bản lĩnh chính trị độc lập, tự chủ, sáng tạo của Nguyễn Ái Quốc? A. Đặt nhiệm vụ chống phong kiến lên hàng đầu. B. Đánh giá đúng đắn, sát thực thái độ các giai tầng xã hội đối với nhiệm vụ giải phóng dân tộc. C. Tán thành hoàn toàn đường lối của Quốc tế Cộng sản. D. Tập trung vào đấu tranh giai cấp.","B"
"45","Theo Hồ Chí Minh, cần phải tẩy sạch những phần tử nào ra khỏi Đảng? A. Những người không tin tưởng cách mạng. B. Những phần tử hủ hóa. C. Những người có tư tưởng hữu khuynh. D. Những người mắc bệnh nói suông.","B"
"46","Về chỉ đạo chiến lược cách mạng thuộc địa, Đảng đã đặt nhiệm vụ nào lên hàng đầu? A. Cách mạng ruộng đất. B. Giải phóng dân tộc. C. Xây dựng Đảng. D. Phát triển lực lượng sản xuất.","B"
"47","Theo Cương lĩnh năm 2011, nền kinh tế thị trường định hướng xã hội chủ nghĩa được định nghĩa là nền kinh tế như thế nào? A. Kinh tế hàng hóa nhiều thành phần vận động theo cơ chế thị trường có sự quản lý của Nhà nước theo định hướng xã hội chủ nghĩa. B. Nền kinh tế kế hoạch hóa tập trung. C. Nền kinh tế chỉ có hai thành phần: quốc doanh và tập thể. D. Nền kinh tế tư bản nhà nước.","A"
"48","Mục tiêu của Đảng trong công cuộc đổi mới hiện nay là xây dựng một nước Việt Nam hòa bình, độc lập, thống nhất, toàn vẹn lãnh thổ, ""dân giàu, nước mạnh, dân chủ, công bằng, văn minh"" làm điểm tương đồng, đồng thời tôn trọng những điểm khác biệt nào? A. Không trái với lợi ích chung của quốc gia - dân tộc. B. Không trái với lợi ích giai cấp. C. Không trái với chủ nghĩa Mác-Lênin. D. Không trái với phong tục tập quán.","A"
"49","Theo Cương lĩnh năm 2011, Đảng Cộng sản Việt Nam là đội tiên phong của những lực lượng nào? A. Giai cấp công nhân và nhân dân lao động. B. Giai cấp công nhân, nhân dân lao động và dân tộc Việt Nam. C. Giai cấp vô sản. D. Nhân dân lao động.","B"
"50","Bài học kinh nghiệm nào được bổ sung vào Cương lĩnh 2011, nhấn mạnh việc chống quan liêu, tham nhũng, xa rời nhân dân? A. Bài học thứ hai (Sự nghiệp cách mạng là của nhân dân, do nhân dân và vì nhân dân). B. Bài học thứ tư (Kết hợp sức mạnh dân tộc với sức mạnh thời đại). C. Bài học thứ ba (Không ngừng củng cố, tăng cường đoàn kết). D. Bài học thứ nhất (Nắm vững ngọn cờ độc lập dân tộc và chủ nghĩa xã hội).","A"
"51","Tên gọi Đảng được Hội nghị thành lập Đảng (2-1930) thống nhất là gì? A. Đảng Cộng sản Đông Dương. B. Đảng Cộng sản Việt Nam. C. Đông Dương Cộng sản Đảng. D. An Nam Cộng sản Đảng.","B"
"52","Theo Hồ Chí Minh, tổ chức nào được xem là ""lò lửa khởi nghĩa dân tộc"" trong cao trào kháng Nhật cứu nước? A. Hội Việt Nam Cách mệnh Thanh niên. B. Mặt trận Dân chủ Đông Dương. C. Việt Minh. D. Mặt trận Liên Việt.","C"
"53","Theo Cương lĩnh năm 2011, có mấy phương hướng cơ bản để xây dựng chủ nghĩa xã hội ở nước ta? A. 6. B. 7. C. 8. D. 9.","C"
"54","Việc học tập và làm theo tấm gương đạo đức Hồ Chí Minh được Bộ Chính trị khóa X quyết định tổ chức trong toàn Đảng, toàn dân vào thời gian nào? A. Tháng 11-2006. B. Tháng 12-2007. C. Tháng 5-2011. D. Tháng 5-2016.","A"
"55","Theo quan điểm của Đảng, xây dựng Nhà nước pháp quyền xã hội chủ nghĩa Việt Nam phải dựa trên nền tảng nào? A. Tiếp thu thành tựu của nhân loại về nhà nước pháp quyền. B. Thể hiện bản sắc, đặc điểm riêng của Việt Nam. C. Cả A và B. D. Chỉ dựa trên kinh nghiệm Xô viết.","C"
"56","Trong các đặc điểm của Bản sắc văn hóa dân tộc Việt Nam, đức tính nào sau đây được nêu ra? A. Lòng yêu nước nồng nàn, ý chí tự cường dân tộc. B. Tinh thần đoàn kết, ý thức cộng đồng gắn kết cá nhân-gia đình-làng xã-Tổ quốc. C. Lòng nhân ái, khoan dung, trọng nghĩa tình, đạo lý. D. Tất cả các phương án trên.","D"
"57","Đường lối đổi mới của Đảng được đề ra tại Đại hội nào? A. Đại hội IV (1976). B. Đại hội V (1982). C. Đại hội VI (1986). D. Đại hội VII (1991).","C"
"58","Đường lối chiến lược của cách mạng Việt Nam trong Cương lĩnh chính trị đầu tiên (2-1930) đã làm rõ nội dung của cách mạng thuộc địa nằm trong phạm trù nào? A. Cách mạng dân chủ tư sản. B. Cách mạng vô sản. C. Cách mạng xã hội chủ nghĩa. D. Cách mạng giải phóng dân tộc.","B"
"59","Trong quan điểm của Hồ Chí Minh về đoàn kết quốc tế, khẩu hiệu nào sau đây được nêu ra? A. Vô sản tất cả các nước đoàn kết lại. B. Vô sản toàn thế giới và các dân tộc bị áp bức đoàn kết lại. C. Quan sơn muôn dặm một nhà, Bốn phương vô sản đều là anh em!. D. Tất cả các phương án trên.","C"
"60","Theo Hồ Chí Minh, ""Cán bộ là những người đem chính sách của Đảng, của Chính phủ giải thích cho dân chúng hiểu rõ và thi hành. Đồng thời đem tình hình của dân chúng báo cáo cho Đảng, cho Chính phủ hiểu rõ, để đặt chính sách cho đúng"". Điều này nhấn mạnh vai trò gì của cán bộ? A. Người lãnh đạo. B. Người đầy tớ. C. Là gốc của mọi công việc. D. Người tổ chức thực hiện.","C"
