id,question,answer
"23","Một trong những hạn chế của lý luận triết học trong lịch sử tư tưởng Việt Nam là gì? A. Không chú trọng vấn đề nhận thức luận và phương pháp tư duy. B. Không dám trái với kinh điển của thánh hiền. C. Không biết lấy thực tiễn đất nước để kiểm nghiệm chân lý. D. Tất cả các phương án trên.","D"
"24","Thực tiễn nào được xem là cơ sở chủ yếu nhất cho sự ra đời triết học Mác? A. Thực tiễn cách mạng của giai cấp tư sản. B. Thực tiễn cách mạng của giai cấp vô sản. C. Thực tiễn đấu tranh của giai cấp nông dân. D. Thực tiễn của cuộc cách mạng công nghiệp.","B"
"25","Theo C.Mác và Ph.Ăngghen, tiền đề đầu tiên của toàn bộ lịch sử nhân loại là gì? A. Sự tồn tại của vật chất. B. Sự tồn tại của ý thức. C. Sự tồn tại của những cá nhân con người sống. D. Sự tồn tại của nền sản xuất vật chất.","C"
"26","V.I.Lênin xem tác phẩm nào là tác phẩm chín muồi đầu tiên của triết học Mác? A. Hệ tư tưởng Đức. B. Tuyên ngôn của Đảng Cộng sản. C. Sự khốn cùng của triết học. D. Bộ Tư bản.","C"
"27","Tính chất cơ bản nào của chân lý có quan hệ chặt chẽ với nhau, không tách rời nhau? A. Khách quan, chủ quan, tương đối. B. Khách quan, tuyệt đối, tương đối, cụ thể. C. Tuyệt đối, phổ biến, riêng biệt. D. Khách quan, duy vật, biện chứng.","B"
"28","Tri thức nào được hình thành do hoạt động hàng ngày của mỗi cá nhân, mang tính chất cảm tính trực tiếp, bề ngoài và rời rạc? A. Tri thức khoa học. B. Tri thức thông thường. C. Tri thức triết học. D. Tri thức tôn giáo.","B"
"29","Trong các yếu tố cấu thành ý thức (tri thức, tình cảm, niềm tin, lý trí, ý chí...), yếu tố nào là cơ bản, cốt lõi? A. Tình cảm. B. Niềm tin. C. Tri thức. D. Ý chí.","C"
"30","Theo triết học duy vật biện chứng, ý thức có mấy nguồn gốc cơ bản? A. Một (Tự nhiên). B. Hai (Tự nhiên và Xã hội). C. Ba (Tự nhiên, Xã hội và Tư duy). D. Bốn (Tự nhiên, Xã hội, Tình cảm và Tri thức).","B"
"31","Vô thức là gì theo triết học Mác - Lênin? A. Trạng thái nhận thức lý luận sâu sắc. B. Trạng thái tâm lý ở chiều sâu, điều chỉnh sự suy nghĩ, hành vi, thái độ ứng xử của con người mà chưa có sự kiểm tra, tính toán của lý trí. C. Trạng thái tư duy lôgíc lặp đi lặp lại. D. Trạng thái tư duy bị ngoại cảnh làm xáo động.","B"
"32","Nguyên tắc phương pháp luận nào đòi hỏi khi nhận thức và tác động vào sự vật phải chú ý điều kiện, hoàn cảnh lịch sử - cụ thể, môi trường cụ thể? A. Quan điểm toàn diện. B. Quan điểm phát triển. C. Quan điểm lịch sử - cụ thể. D. Quan điểm thống nhất.","C"
"33","Theo Hồ Chí Minh, ""Có kinh nghiệm mà không có lý luận, cũng như..."" câu nói tiếp theo là gì? A. ...một tay nắm, một tay buông. B. ...một mắt sáng, một mắt mờ. C. ...một chân đi, một chân đứng. D. ...một người đi, một người kéo.","B"
"34","Chủ nghĩa duy vật biện chứng cho rằng, chân lý là gì? A. Những tri thức phù hợp với hiện thực khách quan và được lý trí kiểm nghiệm. B. Những tri thức khách quan, tuyệt đối, không phụ thuộc vào con người. C. Những tri thức phù hợp với hiện thực khách quan và được thực tiễn kiểm nghiệm. D. Những tri thức do con người tưởng tượng ra.","C"
"35","Theo chủ nghĩa duy vật biện chứng, quy luật xã hội thường biểu hiện ra như thế nào? A. Có tính chất tuyệt đối. B. Mang tính xu hướng. C. Có tính chất cụ thể, riêng biệt. D. Có tính chất thuần túy vật chất.","B"
"36","Trong lịch sử nhân loại nói chung, phạm trù nào có trước phạm trù kia hàng nghìn năm? A. Dân tộc có trước Giai cấp. B. Giai cấp có trước Dân tộc. C. Dân tộc và Giai cấp ra đời đồng thời. D. Giai cấp không thể mất đi.","B"
"37","Trong nền kinh tế thị trường định hướng xã hội chủ nghĩa theo quan điểm của Đảng ta, thành phần kinh tế nào giữ vai trò chủ đạo? A. Kinh tế cá thể. B. Kinh tế tư nhân. C. Kinh tế nhà nước. D. Kinh tế tập thể.","C"
"38","Khối đông đảo con người tham gia vào quá trình vận động, phát triển của lịch sử được gọi là gì? A. Cá nhân kiệt xuất. B. Vĩ nhân. C. Quần chúng nhân dân. D. Lãnh tụ.","C"
"39","Theo chủ nghĩa duy vật lịch sử, quần chúng nhân dân là một phạm trù mang tính chất nào? A. Phạm trù vĩnh viễn. B. Phạm trù lịch sử. C. Phạm trù tự nhiên. D. Phạm trù kinh tế.","B"
"40","Theo chủ nghĩa duy vật lịch sử, ai là chủ thể sáng tạo chân chính ra lịch sử? A. Lãnh tụ vĩ đại. B. Giai cấp vô sản. C. Quần chúng nhân dân. D. Các nhà tư tưởng.","C"
"41","Theo V.I.Lênin, triết học Mác đã làm cho chủ nghĩa duy vật trở nên ""hoàn bị và mở rộng học thuyết ấy từ chỗ nhận thức giới tự nhiên đến chỗ nhận thức..." đối tượng nào? A. Tư duy con người. B. Đời sống tinh thần. C. Xã hội loài người. D. Sản xuất vật chất.","C"
"42","Việc giải quyết vấn đề cơ bản của triết học là tiêu chuẩn để xác định điều gì? A. Lập trường, thế giới quan của các triết gia và học thuyết của họ. B. Tính đúng đắn của khoa học tự nhiên. C. Tính thần bí của tôn giáo. D. Sự phân biệt giữa cái chung và cái riêng.","A"
"43","Ý thức xã hội có những trình độ phát triển nào? A. Lý luận và Thực tiễn. B. Tâm lý xã hội và Hệ tư tưởng. C. Kinh nghiệm và Lý luận. D. Tư duy và Tình cảm.","B"
"44","Trình độ nhận thức lý luận về tồn tại xã hội, là hệ thống những quan điểm, tư tưởng (chính trị, triết học, đạo đức, nghệ thuật, tôn giáo) được hình thành một cách tự giác, được tạo ra bởi các nhà tư tưởng của những giai cấp nhất định được gọi là gì? A. Tâm lý xã hội. B. Hệ tư tưởng. C. Ý thức đạo đức. D. Ý thức khoa học.","B"
"45","Theo C.Mác, phải giải thích ý thức của một thời đại bằng điều gì? A. Những mâu thuẫn của đời sống vật chất. B. Sự phát triển của khoa học. C. Sự xuất hiện của các vĩ nhân. D. Sự thay đổi của tôn giáo.","A"
"46","Sự phát triển của hình thái kinh tế - xã hội là một quá trình nào? A. Lịch sử chủ quan. B. Lịch sử ngẫu nhiên. C. Lịch sử tự nhiên. D. Lịch sử không thể thay đổi.","C"
"47","Tính chất nào của ý thức xã hội gắn với tính chất giai cấp của nó trong xã hội có giai cấp? A. Tính độc lập. B. Tính tuyệt đối. C. Tính kế thừa. D. Tính thụ động.","C"
"48","Theo quan điểm của triết học Mác - Lênin, trong lĩnh vực nào mà tri thức của con người ngày càng thích ứng với thời gian và không gian thực tại khách quan? A. Triết học duy vật. B. Triết học duy tâm. C. Triết học cổ điển Đức. D. Tất cả các trường phái.","A"
"49","Theo Nho giáo, nội dung cơ bản nào của đạo đức được biểu hiện bằng chữ ""trung""? A. Quan hệ vua tôi. B. Quan hệ cha con. C. Quan hệ chồng vợ. D. Quan hệ bạn bè.","A"
"50","Theo quan điểm của triết học Mác - Lênin, giữa phạm trù của triết học và phạm trù của các khoa học cụ thể có mối quan hệ biện chứng là quan hệ giữa gì? A. Lý luận và Thực tiễn. B. Cái chung và cái riêng. C. Nguyên nhân và Kết quả. D. Khách quan và Chủ quan.","B"
"51","Theo Platôn, tri thức hoàn toàn đúng đắn, tin cậy là loại tri thức nào? A. Tri thức nhận được nhờ vào nhận thức cảm tính. B. Tri thức ý niệm. C. Tri thức khoa học tự nhiên. D. Tri thức kinh nghiệm.","B"
"52","Theo Nho giáo, trong ""Tam cương"" (vua tôi, cha con, chồng vợ), hai điều mấu chốt là gì? A. Nhân và Nghĩa. B. Trung và Hiếu. C. Lễ và Trí. D. Tín và Liêm.","B"
"53","Phép biện chứng duy vật là học thuyết do ai xây dựng, sau đó được V.I.Lênin phát triển? A. V.I.Lênin và Ph.Ăngghen. B. C.Mác và V.I.Lênin. C. C.Mác và Ph.Ăngghen. D. Hêghen và C.Mác.","C"
"54","Phán đoán phổ biến là hình thức thể hiện nào của tư duy? A. Sự liên kết khái niệm. B. Sự bao quát rộng lớn nhất về đối tượng. C. Sự khẳng định hoặc phủ định một đặc điểm. D. Sự tư duy mang tính kinh nghiệm.","B"
"55","Theo quan điểm của triết học Mác - Lênin, cái chung tồn tại như thế nào? A. Chỉ tồn tại trong cái riêng, thông qua cái riêng. B. Tồn tại độc lập với cái riêng. C. Có trước cái riêng. D. Do con người tưởng tượng ra.","A"
"56","Theo Hồ Chí Minh, cần phải phát huy sức mạnh của cộng đồng vì ""Vua tôi đồng lòng, anh em hoà mục, nước nhà góp sức"" thì sẽ dẫn đến kết quả gì? A. Đất nước phồn vinh. B. Giặc tự bị bắt. C. Mọi người đều no đủ. D. Thống nhất đất nước.","B"
"57","Hình thái ý thức nào ra đời từ rất sớm trong lịch sử, ngay từ xã hội nguyên thuỷ? A. Ý thức chính trị. B. Ý thức pháp quyền. C. Ý thức đạo đức. D. Ý thức khoa học.","C"
"58","Khi Đảng Cộng sản Việt Nam đề ra đường lối, chủ trương, Đảng luôn luôn phải xuất phát từ những điều kiện nào để vận dụng sáng tạo những nguyên lý phổ biến của chủ nghĩa Mác - Lênin và tư tưởng Hồ Chí Minh? A. Điều kiện kinh tế - xã hội quốc tế. B. Điều kiện lịch sử cụ thể của đất nước. C. Điều kiện về khoa học kỹ thuật. D. Điều kiện về văn hóa truyền thống.","B"
"59","Tệ sùng bái cá nhân, thần thánh hóa cá nhân người lãnh đạo sẽ dẫn đến tuyệt đối hóa vai trò của ai và xem nhẹ vai trò của ai? A. Tuyệt đối hóa vai trò của tập thể lãnh đạo, xem nhẹ vai trò cá nhân kiệt xuất. B. Tuyệt đối hóa vai trò người lãnh đạo, xem nhẹ vai trò của tập thể lãnh đạo và của quần chúng nhân dân. C. Tuyệt đối hóa vai trò của giai cấp vô sản, xem nhẹ vai trò của nông dân. D. Tuyệt đối hóa vai trò của quần chúng nhân dân, xem nhẹ vai trò của lãnh tụ.","B"
"60","Theo triết học Mác - Lênin, điều kiện tiên quyết để khắc phục tôn giáo như một hình thái ý thức có tính chất tiêu cực là phải làm gì? A. Cấm đoán các hoạt động tôn giáo. B. Xóa bỏ nguồn gốc xã hội của nó. C. Tăng cường tuyên truyền chủ nghĩa duy vật. D. Đấu tranh chống lại những người theo tôn giáo.","B"
